month,year,date,spending,workercalifornia,workerusa
Jan,1992,Jan 1992,3459,28,6568
Feb,1992,Feb 1992,3458,28,6569
Mar,1992,Mar 1992,4002,28,6565
Apr,1992,Apr 1992,4564,28,6598
May,1992,May 1992,4221,28,6614
Jun,1992,Jun 1992,4529,28,6614
Jul,1992,Jul 1992,4466,28,6641
Aug,1992,Aug 1992,4137,27,6654
Sep,1992,Sep 1992,4126,27,6671
Oct,1992,Oct 1992,4259,28,6729
Nov,1992,Nov 1992,4240,28,6735
Dec,1992,Dec 1992,4936,27,6728
Jan,1993,Jan 1993,3031,27,6741
Feb,1993,Feb 1993,3261,27,6767
Mar,1993,Mar 1993,4160,27,6718
Apr,1993,Apr 1993,4377,28,6800
May,1993,May 1993,4307,28,6830
Jun,1993,Jun 1993,4696,27,6844
Jul,1993,Jul 1993,4458,27,6857
Aug,1993,Aug 1993,4457,27,6884
Sep,1993,Sep 1993,4364,27,6898
Oct,1993,Oct 1993,4236,27,6941
Nov,1993,Nov 1993,4500,27,6944
Dec,1993,Dec 1993,4974,27,6986
Jan,1994,Jan 1994,3075,27,7009
Feb,1994,Feb 1994,3377,27,7015
Mar,1994,Mar 1994,4443,27,7036
Apr,1994,Apr 1994,4261,27,7075
May,1994,May 1994,4460,27,7081
Jun,1994,Jun 1994,4985,27,7090
Jul,1994,Jul 1994,4324,26,7114
Aug,1994,Aug 1994,4719,26,7130
Sep,1994,Sep 1994,4374,27,7147
Oct,1994,Oct 1994,4248,27,7168
Nov,1994,Nov 1994,4784,27,7198
Dec,1994,Dec 1994,4971,26,7228
Jan,1995,Jan 1995,3370,26,7293
Feb,1995,Feb 1995,3484,27,7304
Mar,1995,Mar 1995,4269,27,7324
Apr,1995,Apr 1995,3994,27,7343
May,1995,May 1995,4715,27,7350
Jun,1995,Jun 1995,4974,27,7387
Jul,1995,Jul 1995,4223,27,7412
Aug,1995,Aug 1995,5000,27,7428
Sep,1995,Sep 1995,4235,27,7451
Oct,1995,Oct 1995,4554,27,7430
Nov,1995,Nov 1995,4851,27,7458
Dec,1995,Dec 1995,4826,27,7471
Jan,1996,Jan 1996,3699,27,7475
Feb,1996,Feb 1996,3983,28,7482
Mar,1996,Mar 1996,4262,28,7512
Apr,1996,Apr 1996,4619,27,7521
May,1996,May 1996,5219,27,7541
Jun,1996,Jun 1996,4836,27,7546
Jul,1996,Jul 1996,4941,27,7568
Aug,1996,Aug 1996,5062,27,7580
Sep,1996,Sep 1996,4365,27,7584
Oct,1996,Oct 1996,5012,27,7601
Nov,1996,Nov 1996,4850,27,7622
Dec,1996,Dec 1996,5097,27,7629
Jan,1997,Jan 1997,3758,27,7641
Feb,1997,Feb 1997,3825,27,7653
Mar,1997,Mar 1997,4454,27,7664
Apr,1997,Apr 1997,4635,27,7670
May,1997,May 1997,5210,27,7685
Jun,1997,Jun 1997,5057,27,7694
Jul,1997,Jul 1997,5231,27,7677
Aug,1997,Aug 1997,5034,27,7701
Sep,1997,Sep 1997,4970,27,7723
Oct,1997,Oct 1997,5342,27,7710
Nov,1997,Nov 1997,4831,27,7727
Dec,1997,Dec 1997,5965,26,7729
Jan,1998,Jan 1998,3796,27,7742
Feb,1998,Feb 1998,4019,27,7759
Mar,1998,Mar 1998,4898,27,7766
Apr,1998,Apr 1998,5090,27,7773
May,1998,May 1998,5237,28,7811
Jun,1998,Jun 1998,5447,27,7812
Jul,1998,Jul 1998,5435,28,7818
Aug,1998,Aug 1998,5107,28,7834
Sep,1998,Sep 1998,5515,28,7851
Oct,1998,Oct 1998,5583,28,7840
Nov,1998,Nov 1998,5346,27,7865
Dec,1998,Dec 1998,6286,27,7891
Jan,1999,Jan 1999,4032,27,7899
Feb,1999,Feb 1999,4435,27,7936
Mar,1999,Mar 1999,5479,27,7942
Apr,1999,Apr 1999,5483,27,7970
May,1999,May 1999,5587,27,7990
Jun,1999,Jun 1999,6176,26,8008
Jul,1999,Jul 1999,5621,26,8006
Aug,1999,Aug 1999,5889,26,8009
Sep,1999,Sep 1999,5828,26,8012
Oct,1999,Oct 1999,5849,26,8060
Nov,1999,Nov 1999,6180,26,8086
Dec,1999,Dec 1999,6771,26,8114
Jan,2000,Jan 2000,4243,26,8116
Feb,2000,Feb 2000,4952,26,8126
Mar,2000,Mar 2000,6008,26,8165
Apr,2000,Apr 2000,5353,26,8170
May,2000,May 2000,6435,26,8163
Jun,2000,Jun 2000,6673,26,8175
Jul,2000,Jul 2000,5636,26,8188
Aug,2000,Aug 2000,6630,26,8218
Sep,2000,Sep 2000,5887,26,8241
Oct,2000,Oct 2000,6322,26,8175
Nov,2000,Nov 2000,6520,26,8243
Dec,2000,Dec 2000,6678,26,8283
Jan,2001,Jan 2001,5082,26,8283
Feb,2001,Feb 2001,5216,26,8306
Mar,2001,Mar 2001,5893,26,8305
Apr,2001,Apr 2001,5894,26,8328
May,2001,May 2001,6799,26,8354
Jun,2001,Jun 2001,6667,26,8375
Jul,2001,Jul 2001,6374,27,8403
Aug,2001,Aug 2001,6840,27,8394
Sep,2001,Sep 2001,5575,26,8388
Oct,2001,Oct 2001,6545,26,8378
Nov,2001,Nov 2001,6789,27,8383
Dec,2001,Dec 2001,7180,27,8383
Jan,2002,Jan 2002,5117,27,8421
Feb,2002,Feb 2002,5442,26,8386
Mar,2002,Mar 2002,6337,26,8387
Apr,2002,Apr 2002,6525,27,8376
May,2002,May 2002,7216,27,8389
Jun,2002,Jun 2002,6761,26,8377
Jul,2002,Jul 2002,6958,26,8420
Aug,2002,Aug 2002,7070,26,8433
Sep,2002,Sep 2002,6148,26,8439
Oct,2002,Oct 2002,6924,26,8480
Nov,2002,Nov 2002,6716,26,8493
Dec,2002,Dec 2002,7975,26,8484
Jan,2003,Jan 2003,5326,26,8531
Feb,2003,Feb 2003,5609,26,8511
Mar,2003,Mar 2003,6414,25,8514
Apr,2003,Apr 2003,6741,25,8532
May,2003,May 2003,7144,26,8535
Jun,2003,Jun 2003,7133,25,8551
Jul,2003,Jul 2003,7568,25,8557
Aug,2003,Aug 2003,7266,25,8590
Sep,2003,Sep 2003,6634,25,8637
Oct,2003,Oct 2003,7626,25,8679
Nov,2003,Nov 2003,6843,25,8691
Dec,2003,Dec 2003,8540,25,8713
Jan,2004,Jan 2004,5629,25,8738
Feb,2004,Feb 2004,5898,25,8753
Mar,2004,Mar 2004,7045,25,8795
Apr,2004,Apr 2004,7094,25,8817
May,2004,May 2004,7333,25,8841
Jun,2004,Jun 2004,7918,25,8852
Jul,2004,Jul 2004,7289,25,8857
Aug,2004,Aug 2004,7396,25,8851
Sep,2004,Sep 2004,7259,25,8898
Oct,2004,Oct 2004,7268,24,8930
Nov,2004,Nov 2004,7731,24,8948
Dec,2004,Dec 2004,9058,24,8970
Jan,2005,Jan 2005,5557,24,8999
Feb,2005,Feb 2005,6237,24,9027
Mar,2005,Mar 2005,7723,24,9052
Apr,2005,Apr 2005,7262,24,9101
May,2005,May 2005,8241,24,9089
Jun,2005,Jun 2005,8757,24,9113
Jul,2005,Jul 2005,7352,24,9135
Aug,2005,Aug 2005,8496,24,9145
Sep,2005,Sep 2005,7741,24,9129
Oct,2005,Oct 2005,7710,24,9118
Nov,2005,Nov 2005,8247,25,9153
Dec,2005,Dec 2005,8902,25,9183
Jan,2006,Jan 2006,6066,24,9226
Feb,2006,Feb 2006,6590,24,9254
Mar,2006,Mar 2006,7923,24,9304
Apr,2006,Apr 2006,7335,24,9327
May,2006,May 2006,8843,24,9310
Jun,2006,Jun 2006,9327,24,9318
Jul,2006,Jul 2006,7792,24,9356
Aug,2006,Aug 2006,9156,24,9374
Sep,2006,Sep 2006,8037,24,9372
Oct,2006,Oct 2006,8640,24,9400
Nov,2006,Nov 2006,9128,24,9452
Dec,2006,Dec 2006,9545,24,9478
Jan,2007,Jan 2007,6627,24,9517
Feb,2007,Feb 2007,6743,24,9533
Mar,2007,Mar 2007,8195,24,9536
Apr,2007,Apr 2007,7828,24,9552
May,2007,May 2007,9570,24,9572
Jun,2007,Jun 2007,9484,24,9584
Jul,2007,Jul 2007,8608,25,9593
Aug,2007,Aug 2007,9543,25,9602
Sep,2007,Sep 2007,8123,25,9620
Oct,2007,Oct 2007,9649,25,9637
Nov,2007,Nov 2007,9390,26,9658
Dec,2007,Dec 2007,10065,25,9673
Jan,2008,Jan 2008,7093,25,9662
Feb,2008,Feb 2008,7482,25,9659
Mar,2008,Mar 2008,8364,25,9648
Apr,2008,Apr 2008,8894,25,9632
May,2008,May 2008,9793,25,9628
Jun,2008,Jun 2008,9974,25,9622
Jul,2008,Jul 2008,9550,25,9628
Aug,2008,Aug 2008,9373,25,9605
Sep,2008,Sep 2008,9223,25,9573
Oct,2008,Oct 2008,9945,25,9547
Nov,2008,Nov 2008,8754,25,9514
Dec,2008,Dec 2008,10834,25,9484
Jan,2009,Jan 2009,7262,25,9462
